#{"t_start": 1761893050.1703396, "env_id": "None"}
r,l,t
1900.778838,44,2.082653
2385.828665,35,3.021552
1032.436957,19,3.458307
946.94834,12,3.754886
1300.528477,16,4.161041
1209.60578,19,4.607965
726.915508,11,4.871947
1424.622939,18,5.285515
2464.286112,59,6.611594
826.206809,12,6.879895
892.568091,15,7.200233
1183.592853,15,7.536124
1252.582134,25,8.119263
1325.709095,22,8.617532
1406.863574,31,9.361881
1144.597806,17,9.770401
1059.667303,18,10.199486
1081.724072,13,10.505617
1149.162075,20,10.985444
586.906984,10,11.199269
870.947911,12,11.493917
1115.093968,15,11.863886
1665.540739,30,12.599751
1262.722867,24,13.180045
873.451192,15,13.552142
1967.832579,43,14.584586
1114.883695,21,15.091962
1243.172229,21,15.62271
989.701762,17,16.020592
881.958456,14,16.374663
1080.51483,19,16.841597
1655.225042,29,17.525886
1022.491023,14,17.858647
1290.197736,21,18.333068
1249.939199,20,18.802297
991.327495,17,19.246654
1246.824212,20,19.739666
967.798995,19,20.224072
1042.869463,17,20.638803
1585.718287,27,21.326181
983.738274,16,21.70519
761.868905,13,22.006989
1173.103595,17,22.427251
1365.693913,27,23.098505
1159.621047,16,23.520804
1976.835601,40,24.505915
1153.968438,21,25.005044
1222.434547,23,25.536385
1270.7498,23,26.059329
1532.954977,22,26.552376
1319.186655,21,27.048967
1767.273993,32,27.829268
896.65307,15,28.225671
1108.025384,19,28.662856
983.317599,15,29.027238
1474.305533,28,29.708838
1145.905254,19,30.182952
1230.980658,18,30.669718
1166.221957,31,31.415197
1188.956879,24,31.964515
1311.823945,23,32.521107
1590.62215,21,33.052431
541.701628,9,33.271103
1029.413277,14,33.607504
887.451967,11,33.895402
1102.190084,21,34.387893
960.313637,16,34.78617
1151.781333,26,35.407329
1083.398879,20,35.909275
1656.606065,26,36.536124
1563.467344,29,37.316114
1475.69751,27,38.012431
1485.158026,27,38.668341
1483.2703,25,39.253974
1159.110482,18,39.705882
1404.323744,23,40.269276
1459.317541,28,40.911237
1536.516343,20,41.427545
997.34769,12,41.708828
2232.735744,36,42.612793
2064.661374,34,43.442275
940.069888,15,43.782656
1028.545971,20,44.251929
1126.021664,24,44.833015
1182.583934,19,45.266591
1364.177543,31,46.098983
1475.103168,22,46.692876
1761.566619,23,47.310797
780.554141,8,47.511652
1413.474352,24,48.105116
928.082111,15,48.489515
1349.744219,27,49.205698
907.991518,15,49.536135
1838.280971,44,50.593402
1279.455756,17,110.818048
1116.762475,16,111.199714
938.806161,16,111.568421
950.369484,10,111.817778
1326.370881,21,112.302398
972.570103,17,112.714393
1028.306722,16,113.083559
1595.53432,33,113.847325
1412.87214,31,114.582926
1414.554743,17,114.98921
1554.088875,25,115.614585
1122.276663,18,116.037853
1107.720366,21,116.558908
901.731675,16,116.981884
834.494873,16,117.395653
1571.009658,29,118.135978
673.569923,10,118.364505
712.34502,15,118.729214
1923.600932,30,119.457961
1032.524149,17,119.84846
1168.16394,21,120.348793
1124.436805,15,120.72916
828.006249,14,121.062963
913.255864,13,121.364695
2032.154033,31,122.098605
2033.583716,39,123.030922
1316.108574,24,123.634957
1312.708083,20,124.114526
1418.485132,28,124.817305
1447.661047,32,125.583413
1042.694577,17,126.011103
1213.161793,28,126.729295
1526.992901,25,127.309414
865.667087,14,127.629774
838.785041,12,127.942493
2629.421493,40,128.924793
878.420992,16,129.301902
1462.416955,21,129.832957
1976.355117,51,131.041025
941.827895,14,131.364581
1413.715529,26,132.036272
1211.076194,20,132.552121
1634.51202,41,133.575278
1682.317345,27,134.237254
986.065328,15,134.579175
1057.910761,15,134.983091
1132.398977,18,135.401744
979.295554,17,135.861733
1315.334126,22,136.411396
1325.149672,30,137.103153
1281.661493,21,137.567414
1506.599701,25,138.175706
1229.426387,17,138.552081
1459.927975,21,139.067842
1025.604953,22,139.622942
1037.400945,19,140.108126
1471.047253,21,140.639173
1601.773681,22,141.154819
1680.908064,37,142.077139
1152.376032,16,142.456329
1230.47101,27,143.138327
1152.768908,16,143.505353
