#{"t_start": 1761893050.173343, "env_id": "None"}
r,l,t
1509.093951,27,1.681368
1250.309877,20,2.154158
1086.004957,19,2.71762
1042.252156,26,3.330294
1141.307592,22,3.855721
1179.770171,15,4.214929
1686.698401,36,5.073487
1868.529099,23,5.580255
1528.610463,32,6.330783
939.797632,15,6.650574
923.43735,18,7.048778
1117.471374,20,7.486253
1125.011614,24,8.049188
947.388812,15,8.39026
837.24079,13,8.680817
1241.385683,18,9.120932
2222.774084,40,10.079914
1346.975907,23,10.626944
1338.269211,26,11.227507
1278.189279,22,11.752084
937.395806,18,12.207645
850.362034,17,12.614893
1008.172846,14,12.962103
1816.966511,26,13.614068
927.440525,21,14.116651
1377.382931,32,14.889567
1476.111448,29,15.589948
834.690375,13,15.89258
2504.566681,38,16.838593
1426.801325,41,17.79959
1733.453327,34,18.573483
1113.513615,17,18.986989
1097.929443,18,19.461898
1426.367422,24,20.06459
1190.897343,15,20.436567
960.834687,20,20.924712
1219.950323,18,21.385682
1338.725414,26,22.003986
943.418376,18,22.440412
1398.524464,27,23.114434
1286.167285,18,23.602715
1983.738148,36,24.487286
1613.149423,28,25.142171
1524.985831,22,25.656778
1144.326815,24,26.189319
1208.797685,22,26.691676
1846.391563,27,27.323732
1229.566003,20,27.827264
1335.864166,26,28.475647
1179.652139,19,28.937811
988.08844,17,29.345721
1425.985073,23,29.892578
1145.858438,16,30.314362
1669.109623,46,31.457268
1226.926466,15,31.783787
1691.738094,33,32.607313
1363.609056,16,33.018166
1812.981721,31,33.769026
1315.795301,20,34.236045
1462.121329,19,34.720088
1410.191373,34,35.533851
1462.922444,20,36.022738
654.540738,8,36.221356
1302.922977,15,36.595634
1229.895178,18,37.079982
1316.147896,23,37.65671
1293.381069,21,38.202925
1435.882413,26,38.8144
2181.388602,42,39.866687
1152.943846,20,40.345907
1580.503976,23,40.87698
1340.040682,21,41.398517
1116.544285,15,41.738629
1006.332111,20,42.238477
1040.727203,20,42.771624
1309.432544,24,43.351658
2318.59104,42,44.320592
874.888508,14,44.673938
1184.699239,19,45.112185
1597.689322,21,45.636167
1432.878195,24,46.282976
1157.516626,16,46.705498
1579.060751,32,47.554181
1159.835594,16,47.949972
763.538101,13,48.283532
976.640624,19,48.777642
1356.493654,19,49.268224
1884.101233,30,49.979709
1414.662949,25,50.57476
1305.062183,22,110.918864
1546.074507,17,111.327007
937.640083,19,111.767906
1822.173984,26,112.371965
1234.45687,22,112.883441
1166.250255,22,113.408569
855.556455,14,113.736926
1244.199479,26,114.3593
1414.454383,23,114.908078
1205.013221,32,115.673785
1665.816856,31,116.439499
946.88232,16,116.838982
1032.739582,20,117.377015
1195.009081,17,117.794058
1170.922404,20,118.299546
1340.802077,25,118.894753
685.145526,10,119.147084
1196.949001,21,119.642438
1942.318089,36,120.501858
1216.092652,18,120.946136
1745.986969,26,121.533569
1578.060341,25,122.161491
1175.096631,26,122.778228
1920.460553,36,123.659732
702.302687,13,123.95444
798.863412,12,124.267421
751.938914,13,124.596409
1464.596926,20,125.060658
1782.3703,26,125.707173
1029.341205,20,126.221081
1170.674239,13,126.549006
813.837563,13,126.861157
1312.423067,17,127.251702
1559.178084,24,127.830213
1430.374107,26,128.486311
1245.674526,16,128.861876
2623.237564,34,129.72432
1564.394546,29,130.393159
1620.642493,32,131.157153
623.535694,12,131.439708
1400.274389,19,131.928482
1062.58428,15,132.332145
1003.509204,18,132.767044
1048.10741,17,133.188521
1884.412268,44,134.281118
1175.2665,16,134.667028
1621.059824,28,135.345808
1321.262892,22,135.939706
1539.115175,31,136.672997
1192.58058,20,137.148455
1700.616422,30,137.845977
1850.594071,33,138.604539
1064.933965,17,139.018569
1564.619008,28,139.721281
1808.060185,34,140.58005
1249.501047,24,141.152817
1149.273105,23,141.71702
791.4406,11,141.986545
1170.251095,17,142.418886
973.180747,18,142.861255
1677.092614,20,143.330003
1850.931462,35,144.200667
1351.227354,18,144.657611
878.896894,15,145.001561
1551.822355,32,145.763697
819.061088,10,146.017889
979.476404,15,146.392436
942.501978,16,146.786588
1276.131655,24,147.336518
1585.843935,30,148.102129
1389.650304,31,148.846975
695.23314,10,149.096791
1160.580726,17,149.495553
1313.089385,22,150.02003
1208.772236,19,150.50175
1574.177905,20,150.971347
1131.151476,19,151.449189
1002.512099,14,151.79577
1138.117272,15,152.151264
1061.426237,20,152.63584
1008.545543,12,152.915682
1231.683059,23,153.439611
1252.613679,24,153.986742
1731.707509,40,154.939817
1335.854834,21,155.439574
1102.701977,21,155.939652
1005.842766,20,156.412472
811.003396,13,156.748477
1545.223982,26,157.407999
1381.145741,25,158.017922
1731.003131,35,158.877397
1442.999818,26,159.502235
1594.616116,20,159.987659
946.319406,14,160.314854
454.777776,5,220.283488
368.442992,5,220.351132
458.362965,6,220.408434
538.763146,8,220.486367
350.141325,6,220.541825
