#{"t_start": 1761893050.1713424, "env_id": "None"}
r,l,t
1586.051495,25,1.634575
937.743879,19,2.082667
1563.425381,31,2.936362
1690.18375,35,3.753883
1296.342927,26,4.37412
1002.085574,15,4.759713
1260.338743,15,5.098189
2200.319263,38,5.958924
1446.229964,29,6.610591
1439.805218,29,7.254228
1228.58943,18,7.653231
1281.182435,25,8.223086
1184.937967,20,8.682818
1475.32767,19,9.144716
1174.543908,19,9.613854
788.529401,11,9.863147
1267.784115,22,10.387447
1192.63446,22,10.904515
907.785391,17,11.292012
1297.922285,16,11.69159
967.840497,16,12.080947
1727.181915,32,12.863186
976.978873,11,13.125598
675.793503,15,13.50426
954.842509,16,13.879077
1158.243864,11,14.167999
1481.058184,26,14.793771
1594.185317,31,15.535227
1294.752143,21,16.05084
1095.880725,25,16.675788
1162.415242,21,17.165702
1747.7384,25,17.744652
1207.261115,18,18.176346
1115.269743,21,18.648587
1045.245546,25,19.29253
1157.022077,18,19.738664
1558.031278,35,20.610752
1637.052962,33,21.442036
1326.87385,19,21.89516
1464.67365,31,22.654766
1747.368841,22,23.195922
1915.456641,34,24.081994
1092.97679,16,24.458022
867.657475,16,24.847558
1897.35139,38,25.709683
1557.409354,27,26.328831
953.496108,19,26.754627
1158.12085,19,27.207582
980.812754,18,27.645065
1610.179994,42,28.689547
2023.009249,29,29.3946
1293.199201,22,29.910204
870.628664,18,30.397524
913.461455,13,30.747173
1483.113984,27,31.3789
695.739889,11,31.637222
2057.405993,31,32.364013
2067.794178,51,33.634242
1363.015618,20,34.116682
917.746926,18,34.567655
1078.589091,19,35.010915
1251.865232,21,35.535852
1632.647753,26,36.168461
1565.220894,25,36.818384
1358.71625,22,37.394681
1525.009753,25,38.038471
1209.260588,24,38.61585
1090.81015,18,39.019586
1510.941153,21,39.535517
1218.700231,20,40.066583
1041.359417,18,40.488397
1407.733844,20,40.943064
1610.350134,29,41.657653
1072.361507,18,42.080275
979.088916,16,42.510427
1376.813174,21,43.029579
843.218365,16,43.425657
1777.423427,31,44.13069
1044.644819,18,44.570677
1118.140678,24,45.141191
1453.286759,25,45.769821
784.979249,19,46.284977
1318.216113,16,46.707499
1537.776511,23,47.325421
662.27231,10,47.579187
1780.302095,33,48.419603
1030.867729,16,48.826526
1468.834447,29,49.535132
1412.579674,24,50.129645
661.188926,13,50.441871
1376.432929,35,111.071545
871.951528,15,111.434355
1353.582034,23,111.988621
952.348648,16,112.348313
1842.954959,26,112.958086
1685.872171,22,113.473063
1248.601828,21,113.972897
763.179447,11,114.237539
1116.663493,17,114.644003
1373.80109,23,115.181244
1725.149911,22,115.722673
851.885645,18,116.153162
1391.452902,20,116.663988
999.347439,16,117.090264
1297.680631,30,117.832335
1240.797539,20,118.347867
1030.163658,17,118.743838
987.048464,19,119.216472
865.249026,14,119.543734
816.434296,12,119.816206
1238.722238,25,120.425727
817.732277,14,120.770211
1059.588115,21,121.269928
1460.237442,21,121.775418
809.043695,15,122.140469
1525.454237,20,122.597663
1107.783913,14,122.941768
1319.217909,19,123.410854
1139.530023,29,124.113523
838.886631,10,124.384815
1131.956935,15,124.740532
1344.296985,29,125.442427
1114.98306,24,126.041353
1540.420055,21,126.582269
1041.387811,17,126.982565
1255.085894,24,127.519987
1211.588128,22,128.113077
853.621576,14,128.457611
732.687546,10,128.682752
1187.847993,27,129.332182
1104.747794,16,129.741947
1237.18336,31,130.466233
1332.954226,28,131.143517
999.937917,17,131.535475
1188.374451,18,132.004017
1300.620842,33,132.857016
1255.610935,26,133.488089
1573.710325,25,134.127471
862.768621,15,134.47575
1491.069813,23,135.04037
1978.836167,30,135.800818
1182.851201,20,136.316812
1410.056589,26,136.920307
1134.8065,24,137.457587
1427.203968,19,137.928962
1132.907082,17,138.316795
1464.038902,19,138.754835
806.555693,16,139.147689
1008.596518,23,139.723281
1022.87117,20,140.223725
1220.018727,18,140.672632
1932.528396,30,141.409676
1212.759162,25,142.019807
1105.697184,16,142.419886
2199.464737,45,143.50435
981.840495,17,143.925994
1541.831257,20,144.425944
1008.675587,22,144.957729
1833.28321,26,145.570807
1125.607919,20,146.078584
1233.860616,27,146.733079
1727.478505,32,147.503863
1347.928246,17,147.926844
807.464772,13,148.269998
889.732975,11,148.519934
1225.140399,18,148.941622
817.059649,19,149.416435
1222.406386,21,149.910702
986.196464,17,150.340615
1875.378777,31,151.083307
1553.104017,34,151.89493
1394.175594,21,152.410736
1194.065004,18,152.832842
1872.399328,41,153.78665
1203.58593,21,154.291632
1454.279945,21,154.785147
578.093284,8,154.958751
767.554126,8,155.176083
1379.993215,22,155.684152
1534.448568,23,156.218317
915.377722,15,156.597856
1201.277228,26,157.260292
1403.63046,26,157.878211
1391.954426,18,158.348922
1079.192838,18,158.770269
1532.26067,30,159.504235
1231.888632,17,159.916045
867.18629,13,160.223087
319.97661,6,220.297793
352.800163,7,220.379184
793.030152,9,220.468348
413.728054,5,220.512562
572.061277,6,220.575079
539.963624,6,220.646405
442.418705,7,220.723004
523.383667,6,220.792966
773.823582,9,220.878642
584.820291,6,220.941629
549.218107,9,221.035206
609.275374,6,221.082073
484.352486,5,221.13255
594.265743,5,221.178549
430.086257,6,221.239549
407.905851,6,221.303674
630.553135,6,221.376636
503.42319,6,221.44725
446.233761,7,221.504153
610.631986,6,221.572089
328.0,3,221.595598
690.796171,9,221.675968
482.056649,7,221.738482
491.313513,4,221.769724
490.57247,6,221.838986
584.444791,9,221.915658
616.918102,7,221.986843
518.853599,6,222.035195
551.522411,6,222.095143
408.598827,4,222.134768
471.569521,6,222.193811
470.903804,7,222.26941
