#{"t_start": 1761893050.1685832, "env_id": "None"}
r,l,t
1023.269608,17,1.456159
1145.588976,18,1.866142
1183.416045,17,2.397148
1169.417752,23,2.939121
1574.579082,21,3.413185
956.655142,14,3.756642
1275.15399,29,4.455022
1037.794118,22,4.984491
1555.763625,43,5.961683
1124.897812,17,6.351159
961.219196,18,6.738655
1403.548171,21,7.201989
1516.032431,22,7.703433
1389.286916,25,8.272722
1253.665761,17,8.669951
1781.008855,26,9.281948
829.185496,12,9.590638
1112.57803,17,9.991494
853.660971,12,10.272266
1301.298829,19,10.717467
1096.401954,16,11.084814
1145.258413,20,11.561645
1424.475428,27,12.225425
1509.721778,40,13.194819
1165.513723,33,14.017856
1812.715844,28,14.702764
1624.138084,33,15.475482
1203.368931,32,16.281421
983.457001,13,16.612091
1117.029842,18,17.022323
1603.765614,24,17.585538
929.112453,15,17.951003
660.162188,10,18.179105
973.976074,11,18.426476
1359.715208,28,19.093842
1966.394942,26,19.757049
1320.785378,28,20.460979
1136.369424,17,20.88584
1553.430063,36,21.785078
838.621577,15,22.135085
1122.066626,24,22.725878
1120.491465,18,23.183047
1345.66318,19,23.6947
840.831118,11,23.975894
670.662829,10,24.200199
948.909462,15,24.553965
955.316311,15,24.916653
1773.568196,31,25.637755
1079.417614,18,26.038411
1293.484031,23,26.554132
1169.107051,19,26.992813
1326.704565,26,27.61881
1485.736961,24,28.243054
1750.851768,30,28.966384
1279.280967,17,29.366117
963.927938,16,29.764873
1075.178266,17,30.183709
1622.302925,22,30.773588
887.736662,16,31.17431
1122.123353,23,31.679295
1318.342825,18,32.085532
786.178702,11,32.366772
1340.004279,21,32.920309
898.275387,13,33.233589
1709.924932,25,33.850857
955.358921,17,34.240804
826.86963,13,34.570414
1442.52063,21,35.053953
971.371818,16,35.455954
1134.915463,16,35.851094
851.495649,13,36.170219
1232.258919,23,36.755571
1077.202039,20,37.302235
1142.076431,19,37.757708
1629.451279,29,38.507539
1560.689089,23,39.022345
885.268147,15,39.397857
1182.612358,15,39.78826
1447.006997,24,40.381918
1063.454115,18,40.787985
739.963318,12,41.069705
1058.525532,16,41.476188
1534.662622,27,42.110108
1022.390101,14,42.475526
1695.526397,29,43.209625
1287.384679,18,43.640767
811.363112,14,43.94494
1155.443499,13,44.252685
2087.64949,27,44.912965
1361.356454,27,45.553453
1090.77768,12,45.882416
1583.116962,33,46.772763
1495.592381,30,47.557942
2040.128287,31,48.350796
1381.208484,23,48.928519
836.220842,16,49.334939
1101.667345,27,49.984468
821.215815,11,50.254047
1094.981316,19,50.706384
2171.313174,36,111.374611
1346.649648,25,111.972729
997.569263,12,112.24306
1792.802184,25,112.830389
1245.662104,21,113.319757
2253.11924,37,114.183356
999.626809,20,114.673498
842.368566,12,114.944089
934.366356,14,115.30387
885.705088,11,115.569214
1774.389976,41,116.560664
1331.84376,19,117.06177
1200.05206,17,117.516576
1008.6743,20,118.008499
1391.347131,21,118.507319
1489.591002,25,119.128645
1587.575006,26,119.728348
931.317591,14,120.074893
1532.924168,23,120.625774
1103.605881,15,120.992163
1648.077188,25,121.57573
1098.36862,19,122.037858
1450.574876,20,122.522292
865.594246,12,122.806993
1310.98378,27,123.459931
2020.329032,31,124.225293
1603.138917,31,124.987297
1143.885232,14,125.319165
900.04968,16,125.711932
800.519379,14,126.070795
1189.46617,16,126.476464
1161.659783,19,126.938445
1012.475255,20,127.397738
1155.127585,28,128.115836
1641.273405,25,128.710534
1453.226247,24,129.288033
1141.264307,18,129.744706
1568.461066,25,130.339024
950.24391,15,130.678758
1609.156561,40,131.653782
1225.748481,15,132.038028
1245.414432,29,132.771804
995.939042,20,133.255796
1398.676644,20,133.786083
1161.169648,23,134.332757
1217.225925,17,134.74131
1875.147933,29,135.444567
1637.74722,29,136.225826
1516.227683,20,136.677757
845.063688,13,136.976734
1099.442019,16,137.351205
1705.250958,24,137.930721
2260.012774,31,138.628911
1019.876243,20,139.119336
1186.88941,18,139.565816
891.168237,18,140.031377
1235.247035,21,140.553549
1397.817478,26,141.175222
941.540875,14,141.522467
1571.307065,22,142.077896
1032.60942,18,142.507438
899.442364,12,142.804088
1349.110067,21,143.319136
1315.49277,18,143.76817
1874.914921,29,144.487992
1222.803184,28,145.148059
1375.239,20,145.625245
861.840233,17,146.052318
1029.95881,24,146.655687
1369.489303,28,147.29441
848.79172,12,147.617128
1241.517485,29,148.347781
1448.468796,41,149.322379
1408.99081,28,149.977912
679.811622,11,150.256649
824.537965,17,150.671947
984.859956,15,151.023517
1106.240903,24,151.640998
1433.940641,24,152.202901
1668.086346,29,152.893523
1402.152774,25,153.475622
1224.63989,20,153.928997
2085.620072,41,154.897289
1357.349409,26,155.506827
1502.87149,31,156.252337
1354.765565,39,157.247032
1470.071791,26,157.865345
983.270733,17,158.316418
1462.988083,58,159.71006
455.549473,9,220.343237
557.7092,4,220.381943
453.94603,7,220.444446
589.173197,8,220.530959
530.926329,6,220.593464
521.790972,6,220.664799
