#{"t_start": 1742794612.7253919, "env_id": "None"}
r,l,t
711.133333,12,33.823532
676.444444,9,33.878662
648.307692,13,33.95188
591.238095,14,34.032283
604.833333,12,34.103302
719.833333,12,34.180912
673.841026,13,34.261755
686.574359,13,34.340244
711.777778,9,34.397046
634.644444,9,34.450773
683.5,10,34.511325
666.572727,11,34.574389
686.311111,9,34.634732
623.333333,12,34.703036
671.392157,17,34.813354
754.466667,12,34.902019
727.922222,18,35.009674
708.72549,17,35.115039
627.139394,11,35.180753
701.611111,9,35.238064
615.444444,9,35.291538
655.974359,13,35.364327
660.166667,12,35.442119
697.9,12,35.511159
660.833333,10,35.56817
746.6,10,35.629695
660.7,12,35.699438
613.0,12,35.771295
653.641026,13,35.846421
718.233333,12,35.923879
689.833333,8,35.967417
737.0,10,36.025789
574.606061,11,36.097924
602.833333,12,36.17302
807.6,15,36.266363
569.974359,13,36.357085
651.533333,12,36.450878
754.504762,14,36.540592
664.5,12,36.611417
703.241026,13,36.689524
565.0,10,36.748075
636.439394,11,36.814781
836.780952,21,36.941712
617.333333,12,37.021694
647.974359,13,37.095715
654.777778,9,37.147687
701.504762,14,37.234567
692.2,15,37.325688
808.2,12,37.393446
731.072727,11,37.459165
857.487179,26,37.61189
759.344444,9,37.66212
916.712281,19,37.782452
881.495652,23,37.925875
753.755556,18,38.031765
685.92549,17,38.137649
754.858824,17,38.242896
735.588889,18,38.365216
731.177778,9,38.418866
832.333333,20,38.534903
796.945614,19,38.649988
667.333333,12,38.721066
656.939394,11,38.787686
579.238095,14,38.869584
695.3,12,38.941001
663.833333,12,39.014194
793.058824,17,39.117229
721.966667,10,39.176766
697.041026,13,39.259497
702.833333,8,39.304835
739.444444,9,39.36185
740.65,16,39.469783
686.671429,14,39.55281
848.192157,17,39.656778
715.166667,8,39.707793
695.111111,9,39.776788
784.866667,10,39.855232
605.5,12,39.924866
737.466667,12,39.998186
583.444444,9,40.045452
780.704762,14,40.129474
753.307692,13,40.207396
638.166667,12,40.276411
682.166667,12,40.356827
714.611111,9,40.402836
641.444444,9,40.457152
666.933333,12,40.539795
655.944444,9,40.594412
628.571429,14,40.674721
674.766667,10,40.739183
933.083333,16,40.83765
936.192157,17,40.95302
655.444444,9,41.012729
705.277778,9,41.063897
751.439394,11,41.133721
672.4,12,41.208098
633.8,10,41.276224
628.777778,9,41.34534
629.474359,13,41.429462
624.466667,10,41.490435
766.466667,15,41.583106
640.272727,11,41.657652
677.377778,9,41.705667
774.5,12,41.782228
625.111111,9,41.835548
747.916667,16,41.933582
713.244444,9,41.990758
739.444444,9,42.038868
649.277778,9,42.093157
677.911111,9,42.153177
714.7,15,42.243443
684.0,15,42.336026
589.071429,14,42.419467
823.571429,14,42.52549
696.05,16,42.630584
685.666667,15,42.724811
657.3,15,42.826524
709.272727,11,42.91233
655.641026,13,42.993226
674.777778,9,43.044213
697.2,12,43.115256
548.474359,13,43.186664
769.939394,11,43.253823
726.406061,11,43.314857
728.138095,14,43.394745
649.092157,17,43.486498
649.777778,9,43.539041
