#{"t_start": 1742888363.1492255, "env_id": "None"}
r,l,t
892.729959,11,34.773824
796.578886,16,34.907128
830.345903,17,35.045365
480.549629,14,35.152836
844.902655,13,35.258916
1479.867728,31,35.555876
1252.756062,20,35.731743
629.706085,18,35.873344
950.344208,16,36.015115
561.461256,9,36.077131
728.137896,9,36.149526
683.514002,17,36.294915
751.966432,10,36.382881
709.670396,16,36.516072
658.578843,7,36.574136
854.794121,13,36.694728
887.403961,12,36.813636
719.500193,9,36.898167
839.745389,7,36.961461
858.310588,20,37.140641
770.054467,9,37.222893
730.815694,6,37.270174
964.138913,13,37.385436
813.578282,6,37.442508
784.477695,9,37.518696
898.157118,14,37.640362
664.438137,12,37.73949
835.105947,17,40.036428
1049.976633,16,40.191465
665.612671,12,40.287486
778.683955,7,40.342642
760.964083,16,40.491917
657.29264,7,40.552929
841.258262,14,40.677913
646.917457,9,40.754859
894.442833,11,40.858882
1450.5642,18,41.039474
767.725031,9,41.11149
800.447925,14,41.229245
593.938804,14,41.335665
712.947085,20,41.56133
873.629995,10,41.667288
646.886545,14,41.777313
650.109703,12,41.8798
1194.970659,29,42.142839
906.976012,20,42.313298
848.85315,17,42.460817
659.851807,15,42.572907
650.704052,8,42.641922
882.34324,8,42.72194
751.57637,17,42.868973
883.858394,17,43.018569
743.161263,8,43.091586
901.07987,22,43.276042
586.428488,19,43.421567
718.427467,13,43.54565
738.48129,6,43.593662
590.371848,10,43.670679
823.6451,26,43.870745
704.462641,11,43.958084
837.53913,14,44.07611
465.200626,14,44.175133
732.633506,14,44.283407
903.186888,7,44.346678
770.540568,11,44.434697
981.376204,13,44.552268
815.508168,19,44.708131
745.364265,23,44.88917
874.180333,6,44.956187
843.117015,20,45.133024
891.660646,17,45.278058
830.072841,5,45.320067
767.386614,27,45.524113
808.29676,8,45.593407
1133.505988,15,45.73844
1019.351478,31,45.994496
877.222882,9,46.075514
948.200339,14,46.204707
782.864799,15,46.320733
767.225516,11,46.427305
900.625425,10,46.520874
785.182444,21,46.709483
945.268243,10,46.811469
721.85795,18,46.967005
987.695454,12,47.087032
957.911016,44,47.439562
839.503058,13,47.568845
768.524766,13,47.689049
969.78225,9,47.769421
983.284748,13,47.900072
657.209947,10,47.984413
811.008774,6,48.044698
1182.436145,3,48.0745
852.073987,8,48.157131
939.509662,15,48.287028
741.026418,5,48.331083
1201.353465,24,48.537257
1413.702952,29,48.811259
720.225477,16,48.940257
716.074449,13,49.043061
812.768577,9,49.122034
1198.782558,18,49.297924
690.004552,17,49.450724
768.253907,16,49.588699
867.302948,7,49.655961
728.402967,9,49.734881
539.436464,14,49.839879
756.144135,16,49.981868
766.41226,20,50.135397
1281.31041,29,50.384923
939.382945,17,50.540636
955.266676,21,50.729838
1018.348998,13,50.854248
799.713026,22,51.040955
863.537526,8,51.119857
855.202256,22,51.319927
975.259909,38,51.625049
571.590585,9,51.693027
925.611897,13,51.81458
702.163111,9,51.88923
624.470203,11,51.973959
925.749344,12,52.089612
935.022916,12,52.209506
747.909983,12,52.312452
818.67492,12,52.414562
864.251546,6,52.475509
663.123907,16,52.604784
775.131547,9,52.689303
1125.686635,33,52.968915
1042.004162,34,53.246006
671.72179,9,53.316052
997.601674,9,53.401322
876.356198,13,53.51224
664.77599,21,53.679497
849.704502,16,53.830053
690.724068,18,53.96841
641.678249,12,54.061093
1164.991822,19,54.250211
923.459545,11,54.353046
875.45805,12,54.465423
873.207837,25,54.656476
783.897148,6,54.712878
685.060666,14,54.829135
699.53423,11,54.915941
867.468997,20,55.08314
729.793204,7,55.145321
1101.056237,23,55.345706
740.605313,13,55.451915
700.967036,10,55.529153
828.281469,13,55.651715
937.078846,9,55.743895
590.271707,9,55.813205
746.531087,7,55.871181
841.020596,24,56.071476
897.259021,11,56.172394
820.542346,8,56.24683
760.908494,25,56.433833
981.707535,16,56.577403
931.389783,17,56.714882
736.274397,8,56.783717
1023.036041,12,56.902454
544.5296,9,56.97224
940.082442,15,57.109301
1203.171376,14,57.249048
756.27106,12,57.379242
737.956304,10,57.463037
587.318709,15,57.583902
793.297182,9,57.667398
632.533978,9,57.739619
1040.968069,22,60.114079
696.453977,20,60.289983
1022.519711,19,60.477828
664.292478,28,60.72684
739.358031,13,60.83777
576.898859,14,60.966315
588.197812,11,61.049446
911.717319,30,61.292886
791.123514,24,61.498687
1008.741887,16,61.650603
826.61401,10,61.751967
774.977471,13,61.87822
815.541095,11,61.971778
844.474876,27,62.197309
736.144356,25,62.409552
855.87389,7,62.489307
649.684999,28,62.712635
1352.856601,23,62.934391
1028.922242,24,63.153013
803.926876,18,63.303256
756.577117,21,63.477392
575.552487,12,63.573136
939.558984,4,63.612063
638.023835,11,63.698756
580.43047,11,63.794833
600.672326,8,63.863368
975.844623,13,64.003319
1014.640729,16,64.157805
781.135839,17,64.312238
807.144046,9,64.403177
749.257502,11,64.510778
756.017064,25,64.737057
797.823245,7,64.80349
840.140915,18,64.969898
652.610222,16,65.105678
739.64594,20,65.283333
741.241003,8,65.358932
849.338298,24,65.582054
962.644796,10,65.683007
776.355721,13,65.803628
612.935451,16,65.979608
1115.718032,24,66.214285
706.911424,20,66.388412
1065.533266,18,66.572645
842.917281,14,66.691469
746.083605,16,66.83104
630.18454,9,66.902473
886.885085,13,67.020143
781.174932,7,67.088869
682.222115,9,67.173208
849.278812,18,67.343512
693.202567,9,67.423064
890.662617,20,67.608244
568.575475,11,67.700374
870.815233,17,67.86791
683.121136,12,67.976223
1053.523126,20,68.170105
775.05218,21,68.369399
963.985329,24,68.597666
1005.235075,18,68.785107
822.863431,11,68.896074
769.330306,17,69.063042
1215.80588,29,69.337751
919.10014,17,69.500917
1274.276659,26,69.745743
765.423191,7,69.811227
847.416896,11,69.913913
837.058521,13,70.038034
1189.572692,36,70.381409
688.299195,20,70.560561
845.059171,23,70.760544
1296.036259,22,70.974412
691.557817,7,71.032377
765.010669,15,71.158658
941.444384,26,71.386718
812.193032,16,71.523518
930.649101,18,71.696166
870.79938,19,71.870005
1056.139596,22,72.077236
701.563137,15,72.20861
1030.386005,19,72.390989
882.689504,17,72.546067
729.837587,9,72.626695
730.240785,20,72.792579
860.726336,5,72.842208
911.905025,11,72.950484
657.400927,22,73.121627
724.353514,12,73.22306
869.635818,9,73.312949
681.236256,18,73.472321
707.054929,13,73.602985
671.629028,27,73.825984
571.811294,16,73.950552
704.778094,12,74.061501
693.469994,13,74.179348
739.115617,12,74.285088
1194.059491,26,74.533864
872.541394,14,74.675714
501.819636,14,74.789006
844.446382,10,74.884979
684.292596,11,74.992206
1073.987677,17,75.173381
680.093156,10,75.255989
798.353272,27,75.487232
910.462188,22,75.692853
629.705077,9,75.772552
984.908495,15,75.918839
860.723019,4,75.955154
836.004011,10,76.049066
782.554986,12,76.156733
723.67643,21,76.339421
719.471986,10,76.426039
1077.722507,10,76.529605
689.071015,8,76.608163
619.532689,15,76.754383
730.527951,8,76.823666
802.078545,11,76.914814
838.523563,15,77.05089
1026.220584,14,77.180558
899.586118,18,77.354376
968.92211,14,77.485645
918.713607,7,77.554661
842.666704,9,77.6393
1007.567233,20,77.817846
769.687306,18,77.971068
808.89287,9,78.058479
1159.017784,20,78.266764
833.551815,6,78.329435
737.185348,15,78.457822
649.840594,18,78.605267
955.382562,15,81.0527
787.656139,7,81.123716
761.748993,11,81.223273
808.977651,11,81.318925
772.332989,7,81.38394
862.86144,13,81.503561
600.878379,8,81.569575
971.418027,27,81.795514
1130.782932,15,81.942186
925.054879,29,82.205747
712.219197,11,82.305776
782.991294,10,82.395708
667.712509,13,82.504648
839.450748,7,82.576283
696.578145,15,82.70198
720.410542,19,82.865238
694.687956,8,82.934716
681.338836,11,83.016233
628.656513,13,83.112469
600.807249,17,83.241748
943.822417,10,83.34678
728.403736,12,83.46268
767.699695,10,83.561287
872.841195,12,83.664958
629.855038,30,83.894529
1339.140782,23,84.107059
819.57373,11,84.207079
847.673094,14,84.334408
759.453446,17,84.478686
931.050153,22,84.664425
1016.807753,18,84.819498
724.893121,16,84.963618
849.815388,15,85.113688
1142.953092,30,85.379178
693.541576,10,85.467305
847.0574,16,85.614386
1211.946516,17,85.773183
623.745119,10,85.858511
912.025809,18,86.02012
802.790669,25,86.237089
831.286231,21,86.410671
813.456804,9,86.494181
687.473178,13,86.615052
824.085639,14,86.759194
804.920867,14,86.895999
890.163224,29,87.139426
794.761286,13,87.258795
832.470746,22,87.451952
713.299824,17,87.588239
908.066795,25,87.807969
863.069123,27,88.028378
772.25646,10,88.1201
580.460061,13,88.235633
601.522622,17,88.38042
700.082817,12,88.488056
695.259394,6,88.539869
1347.879226,15,88.70974
662.282441,12,88.80243
918.351609,4,88.84108
1027.897905,12,88.955137
752.464574,13,89.071375
841.995725,10,89.168692
886.817521,23,89.378472
808.070524,10,89.47227
1362.063183,26,89.741031
732.382776,9,89.817815
731.398938,19,89.975994
1120.210954,26,90.203022
734.075219,14,90.320359
797.235171,5,90.366388
803.563638,9,90.447927
881.268466,10,90.543287
749.260774,7,90.611223
767.609036,16,90.755803
795.983129,17,90.905596
755.66134,10,90.988693
657.018907,9,91.065328
1124.244759,15,91.224331
732.18082,14,91.346408
857.605953,9,91.436912
721.255106,21,91.615194
924.816232,20,91.784789
599.641326,15,91.904418
767.737901,10,91.98969
961.687545,16,92.143515
1069.949479,20,92.336592
539.65074,14,92.450329
669.567853,10,92.544499
1229.632654,24,92.771803
833.661613,19,92.939458
803.039498,16,93.082344
732.486758,6,93.135598
